date,type,registration,operator,fat.,location,url,phase,aircraft_damage,classification,narrative,nature,inv_agency,year
25-JUL-2013,Canadair Challenger 601,N163WG,Blue Water Aviation,0,unknown,https://aviation-safety.net/database/record.php?id=20130725-0,Unknown (UNK),Substantial,,"The aircraft's left main landing gear brake assembly and part of its left wing were damaged. Precise circumstances are unclear.It was moved to its manufacturer's facility in Wichita, Kansas for repair but eventually, in 2018, was purchased by Dodson for parts.",Unknown,,2013
28-JUL-2013,Antonov An-2,FLA-3618K,private,0,near Shakhty Airport,https://aviation-safety.net/database/record.php?id=20130728-0,Initial climb (ICL),Damaged beyond repair,Flightcrew  un(der)qualified  All engine powerloss Forced landing outside airport,"An Antonov 2 biplane sustained substantial damage in a hard landing accident near Shakhty Airport, Russia. The pilot was not injured.According to preliminary data, the airplane had been bought some seven months before the accident by an individual who worked as a mechanic at the a local aircraft repair plant at Shakhty Airport. He did not possess a valid pilot's licence.Shortly after takeoff, the engine lost power. The pilot made a hard landing in a field and fled the scene. He was later questioned by police.28-07-201328-07-201328-07-201328-07-201328-07-2013",Illegal Flight,,2013
29-JUL-2013,Saab 340B,UR-ARO,"Air Urga, opf UN",0,Lubumbashi I...,https://aviation-safety.net/database/record.php?id=20130729-0,Takeoff (TOF),Substantial,Runway excursion,"The Saab 340B was operated on behalf of the United Nations Organization Stabilization Mission in the Democratic Republic of the Congo (MONUSCO) on a flight from Lubumbashi to Kalemie and Goma, DR Congo. During takeoff the aircraft apparently lost directional control and went off the runway. It veered off the right side of the runway, coming to a stop in undergrowth 200m from the runway.",Domestic Non Scheduled Passenger,BPEA DR Congo ,2013
05-AUG-2013,Beech B200 Super King Air,TF-MYX,Mýflug Air,2,near Akureyri Air...,https://aviation-safety.net/database/record.php?id=20130805-0,Approach (APR),Destroyed,Loss of control,"A Beechcraft B200 Super King Air was destroyed in an accident near Akureyri Airport (AEY), Iceland. A medic and the captain were killed. The other pilot received minor injuries.The air ambulance plane had transported a patient from Höfn to Reykjavik, Iceland and was returning to the home base at Akureyri Airport. The repositioning flight departed Reykjavik at 1244 hours local time and climbed to the cruising altitude of FL170.During cruise, the flight crew discussed the captain's wish to deviate from the planned route to, in order to fly over a racetrack area near the airport. At the racetrack, a race was about to start at that time. The commander had planned to visit the racetrack area after landing.The aircraft approached Akureyri from the south and at 10.5 DME the flight crew cancelled IFR. When passing KN locator (KRISTNES), the flight crew made a request to Akureyri Tower to overfly the town of Akureyri, before landing. The request was approved by the tower and the flight crew was informed that a Fokker 50 was ready for departure on runway 01. The flight crew of TF-MYX responded and informed that they would keep west of the airfield. After passing KN, the altitude was approximately 800 ft MSL. The co-pilot mentioned to the commander that they were a bit low and recommended a higher altitude. The altitude was then momentarily increased to 1000 ft.When approaching the racetrack area, the aircraft entered a steep left turn. During the turn, the altitude dropped until the aircraft hit the racetrack. The left wing touched the ground and the airplane broke up while impacting terrain at Hlíðarfjall Road, northwest of Akureyri Airport. A post-impact fire erupted.Causal factors- A breakdown in CRM occurred.- A steep bank angle was needed to line up with the racetrack.- The discussed flyby was executed as a low pass.- The maximum calculated bank angle during last phase of flight was 72.9°, which is outside the aircraft manoeuvring limit.- ITSB believes that the commander's focus on a flyby that he had not planned thoroughly resulted in a low-pass with a steep bank, causing the aircraft to lose altitude and collide with the ground.Contributory factors- The commander's attention to the activity at the race club area, and his association with the club was most probably a source of distraction for him and most likely motivated him to execute an unsafe manoeuver.- Deviations from normal procedures were seen to be acceptable by some flight crews.- A flyby was discussed between the pilots but not planned in details.- The flight crew reacted to the departing traffic from BIAR by bringing their flight path further west of the airport.- The approach to the low pass was misjudged.- The steep turn was most probably made due to the commander's intention to line up with the race track.05-08-2013",Ferry/positioning,TSB Iceland ,2013
05-AUG-2013,Embraer Phenom 300,N327FL,Flight Options,0,Minneapolis-...,https://aviation-safety.net/database/record.php?id=20130805-1,Landing (LDG),Substantial,Runway excursion,"The Embraer EMB-505 Phenom 300 jet ran off the end of runway 10R on landing and came to a stop on Flying Cloud Drive. The pilots reported that the airplane was on a steep visual approach when they landed long and fast. The pilot flying also reported that after touchdown he could feel the pulsing of the anti-skid brakes but was unable to stop on the runway surface. The airplane departed the end of the runway and impacted the airport boundary fence coming to rest on a four-lane highway about 1,000 feet from the runway. At 0838 the data from FCM revealed that the wind was from 150 degrees at 4 knots, 6 miles visibility in mist, few clouds at 200 feet above ground level (agl), an overcast ceiling at 7,000 feet agl, temperature 18 degrees C, dew point temperature 17 degrees C, with an altimeter setting of 29.89 inches of mercury. Remarks indicated that rain ended at 0819 with a one hour precipitation of 0.01 inches.PROBABLE CAUSE ""The flight crew's failure to execute a go-around during a non-stabilized approach, which resulted in a runway overrun.""05-08-201305-08-201305-08-201305-08-2013",Ferry/positioning,NTSB ,2013
06-AUG-2013,Shijiazhuang Y-5B,B-8473,Jingmen General Aviation,1,Danfeng County,https://aviation-safety.net/database/record.php?id=20130806-0,Unknown (UNK),Damaged beyond repair,,The airplane impacted a forest and broke up. The captain was slightly injured and the co-pilot was killed.,Agricultural,,2013
06-AUG-2013,Fokker 50,ST-ARG,Mid Airlines,0,Khartoum-Civ...,https://aviation-safety.net/database/record.php?id=20130806-1,Taxi (TXI),Substantial,Collision with airport equipment Damaged on the ground,"A Fokker 50, operated by Mid Airlines, sustained substantial damage in a ground accident at Khartoum Airport, Sudan.When preparing for departure, the no. 2 (right hand) propeller struck a ground power unit. Propeller blade tips broke off, penetrating the fuselage and a passenger window.",Domestic Scheduled Passenger,,2013
09-AUG-2013,Antonov An-12BK,UR-CAG,Ukraine Air Alliance,0,Leipzig Airp...,https://aviation-safety.net/database/record.php?id=20130809-0,Standing (STD),Destroyed,APU engine problem Damaged on the ground,"An Antonov 12 cargo plane, operated by Ukraine Air Alliance, was destroyed by fire during startup at Leipzig Airport (LEJ), Germany. All crew members escaped.The aircraft, UR-CAG, arrived as flight UKL751 at Leipzig at 1914 on August 8, after a flight from Stockholm, Sweden. The airplane parked at Stand 207. Loading operations commenced at 2330 and were finished at 0100. The cargo consisted of almost 49,000 day old chickens, weighing 3061 kg. The airplane was then fueled with 22,908 litres of fuel for the flight to Mineralnye Vody Airport (MRV), Russia. Fueling was completed at 0121. Planned departure time was 0215. At 0201 the controller at Leipzig cleared the crew to start the engines. The APU was started, followed by the no. 1 engine. During the starting process of engine no. 4, the crew heard a muffled bang and the airplane jerked. The co-pilot, who was monitoring the instruments during the starting process, had observed variations in APU speed and an increase in temperature. Immediately the APU fire warning flashed. The crew shut down both engines and activated the fire-extinguishing system of the APU.A flight mechanic then opened the emergency hatch located below the flight deck and observed the fire in the area of the APU. Other crew members handed him three fire extinguishers that were located on the flight deck. The flight engineer and two flight mechanics then proceeded to the fire and emptied the extinguishers. The captain meanwhile instructed the radio operator to warn the tower controller about the fire. The controller was contacted at 0207. He activated the fire alarm at 020800 and reported the location of the fire at 0209. The first crash tender reached the airplane at 0212 and began an attempt to put out the fire.By then all crew members had evacuated through the emergency exit below the flight deck. The airplane burned out.Due to the high degree of destruction it was not possible to determine the exact cause of the fire. It is possible that the compressor wheel had burst.Conclusions ""The fire originated in the APU and propagated rapidly to the cargo compartment. The fire was not contained within the APU chamber. The propagation and severity of the fire were aided by the leaking fuel from the fuselage bottom tanks and the burning light metal alloy components of the APU.""09-08-2013",Cargo,BFU Germany ,2013
09-AUG-2013,Antonov An-12B,1513,Ethiopian AF,4,Mogadishu In...,https://aviation-safety.net/database/record.php?id=20130809-1,Landing (LDG),Damaged beyond repair,,"A cargo plane loaded with weapons coming from Ethiopia, crashed at Mogadishu Airport in Somalia. Four crew members were killed, two were injured.09-08-2013",Military,,2013
10-AUG-2013,Antonov An-2T,D-FWJC,Air Tempelhof,0,Bienenfarm A...,https://aviation-safety.net/database/record.php?id=20130810-0,Takeoff (TOF),Substantial,Forced landing outside airport,"An Antonov 2T biplane sustained damage in an accident near Bienenfarm Airport, Germany. All thirteen occupants, twelve passengers and a pilot survived with minor injuries.The An-2 took off from runway 30 at Bienenfarm Airport. After takeoff the airplane climbed to 83 m. It failed to gain more height and the airspeed decreased. The pilot put the nose down and initiated a left hand turn. A forced landing was carried out a in a field. The airplane touched down at a speed of 80 km/h and rolled for 130 m before it flipped over and came to rest upside down. There was no fire.10-08-2013",Domestic Non Scheduled Passenger,BFU Germany ,2013
10-AUG-2013,Airbus A320-232,VH-VGR,Jetstar Airways,0,Melbourne-Tu...,https://aviation-safety.net/database/record.php?id=20130810-1,Standing (STD),Substantial,Ground collision Damaged on the ground,"An Airbus A320, registered VH-VGR and operated by Jetstar Airways, operated on a domestic flight from Sydney, Australia to Melbourne. Upon arrival, the flight was cleared by the ground controller to taxi to gate D2.At 0930 the aircraft entered the apron en route to gate D2, when a Boeing 737-800, registered VH-YID, requested pushback approval from gate E1. The 737 was being operated by Virgin Australia Airlines on a flight to Sunshine Coast Airport.The controller advised the crew of that a Jetstar A320 was entering the apron behind them for bay D2 and that when that traffic was 'on the gate', pushback from bay E1 was approved.The flight crew of VH-YID reported that they saw the Jetstar A320 pass behind them from the reflection in the terminal window in front of their parked aircraft. The captain of VH-YID relayed the pushback approval to the dispatcher, including that it could only commence once the A320 was on the gate. The dispatcher was standing to the right of the aircrafts nose.At 093134, as VH-VGR approached the gate on bay D2, the automatic nose-in guidance system (NIGS) displayed a message 'STOP-WAIT'. In response the flight crew stopped the aircraft short of the gate. The dispatcher on VH-YID reported looking under the aircraft and observing that the A320 was stopped. The dispatcher reported then waiting for about 1520 seconds to confirm the aircraft remained stationary. As it did, the dispatcher was satisfied that the A320 was on the gate and the pushback of VH-YID could commence. Pushback began at 093146.At 093158, the crew of the A320 transmitted to the controller that they were holding short of the bay because of the NIGS. However, that message was over-transmitted by another aircraft. Forty seconds later, the crew re-transmitted the same message. The message was acknowledged by the controller, who requested to be advised when the aircraft was at the gate.Neither the crew of VH-VGR nor the controller mentioned the gate number during the transmissions.The crew of the 737 later reported they did not hear these transmissions.At 093303, the left wingtip of VH-YID contacted the tail cone of the A320 immediately aft of the operating auxiliary power unit. The tail cone immediately aft of the auxiliary power unit separated from the aircraft and fell to the ground. The left wingtip of VH-YID was damaged during the collision.Following the collision, VH-YID was towed back to gate E1 and VGR was marshalled to gate D2.There were no injuries as a result of the collision.Contributing factors- The dispatcher of the B737 could not visually confirm the position of the A320 relative to its assigned gate and incorrectly assessed that, as the aircraft was stationary, it was at the gate.- The pushback of the B737 was commenced with insufficient clearance from the A320, which was not identified prior to the collision as the dispatcher's position to the right-front of the B737 prevented observation of its left wing.10-08-201310-08-2013",Domestic Scheduled Passenger,ATSB ,2013
10-AUG-2013,Boeing 737-8FE (WL),VH-YID,Virgin Australia Airlines,0,Melbourne-Tu...,https://aviation-safety.net/database/record.php?id=20130810-2,Pushback / towing (PBT),Substantial,Ground collision Damaged on the ground,"An Airbus A320, registered VH-VGR and operated by Jetstar Airways, operated on a domestic flight from Sydney, Australia to Melbourne. Upon arrival, the flight was cleared by the ground controller to taxi to gate D2.At 0930 the aircraft entered the apron en route to gate D2, when a Boeing 737-800, registered VH-YID, requested pushback approval from gate E1. The 737 was being operated by Virgin Australia Airlines on a flight to Sunshine Coast Airport.The controller advised the crew of that a Jetstar A320 was entering the apron behind them for bay D2 and that when that traffic was 'on the gate', pushback from bay E1 was approved.The flight crew of VH-YID reported that they saw the Jetstar A320 pass behind them from the reflection in the terminal window in front of their parked aircraft. The captain of VH-YID relayed the pushback approval to the dispatcher, including that it could only commence once the A320 was on the gate. The dispatcher was standing to the right of the aircrafts nose.At 093134, as VH-VGR approached the gate on bay D2, the automatic nose-in guidance system (NIGS) displayed a message 'STOP-WAIT'. In response the flight crew stopped the aircraft short of the gate. The dispatcher on VH-YID reported looking under the aircraft and observing that the A320 was stopped. The dispatcher reported then waiting for about 1520 seconds to confirm the aircraft remained stationary. As it did, the dispatcher was satisfied that the A320 was on the gate and the pushback of VH-YID could commence. Pushback began at 093146.At 093158, the crew of the A320 transmitted to the controller that they were holding short of the bay because of the NIGS. However, that message was over-transmitted by another aircraft. Forty seconds later, the crew re-transmitted the same message. The message was acknowledged by the controller, who requested to be advised when the aircraft was at the gate.Neither the crew of VH-VGR nor the controller mentioned the gate number during the transmissions.The crew of the 737 later reported they did not hear these transmissions.At 093303, the left wingtip of VH-YID contacted the tail cone of the A320 immediately aft of the operating auxiliary power unit. The tail cone immediately aft of the auxiliary power unit separated from the aircraft and fell to the ground. The left wingtip of VH-YID was damaged during the collision.Following the collision, VH-YID was towed back to gate E1 and VGR was marshalled to gate D2.There were no injuries as a result of the collision.Contributing factors- The dispatcher of the B737 could not visually confirm the position of the A320 relative to its assigned gate and incorrectly assessed that, as the aircraft was stationary, it was at the gate.- The pushback of the B737 was commenced with insufficient clearance from the A320, which was not identified prior to the collision as the dispatcher's position to the right-front of the B737 prevented observation of its left wing.10-08-201310-08-2013",Domestic Scheduled Passenger,ATSB ,2013
14-AUG-2013,Airbus A300F4-622R,N155UP,UPS,2,near Birmingham-S...,https://aviation-safety.net/database/record.php?id=20130814-0,Approach (APR),Destroyed,Insufficient rest / fatigue Landing after unstabilized approach Controlled Flight Into Terrain (CFIT) - Ground,"UPS Flight 1354, an Airbus A300F4-622R, N155UP, crashed and burst into flames near Birmingham-Shuttlesworth International Airport (BHM). Both pilots were killed.Flight 1354 departed Louisville International Airport, KY (SDF) about 0504 hours EDT on a regular cargo service to Birmingham (BHM).The flight was on approach to runway 18 when it struck trees. The airplane contacted terrain and crashed in a field, 1000 m short of the runway.The National Transportation Safety Board determines that the probable cause of this accident was the flight crews continuation of an unstabilized approach and their failure to monitor the aircrafts altitude during the approach, which led to an inadvertent descent below the minimum approach altitude and subsequently into terrain. Contributing to the accident were (1) the flight crews failure to properly configure and verify the flight management computer for the profile approach; (2) the captains failure to communicate his intentions to the first officer once it became apparent the vertical profile was not captured; (3) the flight crews expectation that they would break out of the clouds at 1,000 feet above ground level due to incomplete weather information; (4) the first officers failure to make the required minimums callouts; (5) the captains performance deficiencies likely due to factors including, but not limited to, fatigue, distraction, or confusion, consistent with performance deficiencies exhibited during training; and (6) the first officers fatigue due to acute sleep loss resulting from her ineffective off-duty time management and circadian factor.14-08-201314-08-201314-08-201314-08-201314-08-2013",Cargo,NTSB ,2013
16-AUG-2013,Antonov An-2TP,RA-01419,Polyarnye Avialinii,0,near Vilyuisk,https://aviation-safety.net/database/record.php?id=20130816-0,En route (ENR),Destroyed,Forced landing outside airport,"An Antonov 2 passenger plane, operated by Polyarnye Avialinii, was damaged beyond repair following a forced landing near Vilyuisk. Russia.The airplane originated in Vilyuisk and was en route to Ugulet Airport. Shortly after takeoff the pilot was forced to carry out an emergency landing. The undercarriage bogged down in soft ground and a fire erupted, which destroyed the airplane. All occupants safely evacuated the airplane.The pilot had to carry out an emergency landing due to an increase in oil temperature and an oil pressure drop. The pilot did not turn off the ignition prior to the emergency landing, nor did he shut off the fuel flow. A fire erupted after landing, causing the destruction of the plane. The cause of the rising oil temperature and pressure drop was not found because of the damage to the engine parts.16-08-2013",Domestic Scheduled Passenger,,2013
19-AUG-2013,Douglas DC-3C,C-GWIR,Buffalo Airways,0,Yellowknife ...,https://aviation-safety.net/database/record.php?id=20130819-0,Landing (LDG),Substantial,,"A Buffalo Airways Douglas DC-3C sustained damage after colliding with terrain near Yellowknife Airport, Canada.Prior to departure, Flight BFL168 was loaded with cargo and 17 passengers at the Buffalo Airways hangar. Passengers were processed through the Buffalo Airways terminal, where they checked in and dropped off their checked luggage. Passengers and their baggage were not weighed at the check-in counter. After the aircraft had been loaded, 4 last-minute passengers were boarded along with their luggage.At the time of departure, the operational flight plan (OFP) was partially completed and did not reflect the number of passengers on board or the weight of the cargo. The crew did not receive a cargo manifest prior to departure.At 1708, BFL168 received take-off clearance from the Yellowknife tower controller and initiated the take-off run from runway 16 at the intersection of runways 16/34 and 10/28. The runway distance available from the intersection was approximately 5956 feet.At 1710, the tower controller observed heavy torching and smoke from the right engine and called to advise BFL168 of this observation. The tower controller received no response from BFL168. The crew of BFL168 was in the process of retracting the landing gear when a fire was observed in the right engine. An emergency engine shut down was performed, which included feathering the right propeller. As the right propeller was moving towards a feathered condition, it stopped feathering before reaching the full feathered position and returned to windmilling. BFL168 made a low-altitude right turn in an attempt to reach runway 10. The maximum height achieved by BFL168 was approximately 180 feet above ground level (agl).While manoeuvring, BFL168 struck a stand of trees, about 30 feet in height, 690 feet southwest from the threshold of runway 10. The initial point of ground contact was 400 feet beyond the trees. BFL168's wreckage trail was parallel to and south of runway 10 and was about 330 feet in length. The landing gear and the flaps were in the retracted position. Due to the relatively low-energy impact, the emergency locator transmitter (ELT) did not activate.Once the aircraft came to a complete stop, the flight attendant initiated the evacuation of the 21 passengers through the left-aft door. The flight attendant returned to the aircraft and moved some galley drawers that were blocking the cockpit, and confirmed that the flight crew was safe. The 3 crew members subsequently evacuated the aircraft. ARFF sprayed the aircraft with fire retardant foam as a precaution. The crew and passengers, none of whom were injured, remained at the site under the supervision of ARFF for approximately 60 minutes. They were subsequently transported back to the Buffalo Airways terminal building.Findings as to causes and contributing factors1. An accurate take-off weight and balance calculation was not completed prior to departure, resulting in an aircraft weight that exceeded its maximum certified take-off weight.2. The right engine number 1 cylinder failed during the take-off sequence due to a pre-existing fatigue crack, resulting in an engine fire.3. After the right propeller's feathering mechanism was activated, the propeller never achieved a fully feathered condition likely due to a seized bearing in the feathering pump.4. The windmilling right propeller caused an increase in drag which, combined with the overweight condition, contributed to the aircraft's inability to maintain altitude, and the aircraft collided with terrain short of the runway.5. The operator's safety management system was ineffective at identifying and correcting unsafe operating practices.6. Transport Canada's surveillance activities did not identify the operator's unsafe operating practices related to weight and balance and net take-off flight path calculations. Consequently, these unsafe practices persisted.Findings as to risk1. If companies do not adhere to operational procedures in their operations manual, there is a risk that the safety of flight cannot be assured.2. If Transport Canada does not adopt a balanced approach that combines inspections for compliance with audits of safety management processes, unsafe operating practices may not be identified, thereby increasing the risk of accidents.3. If cockpit or data recordings are not available to an investigation, this may preclude the identification and communication of safety deficiencies to advance transportation safety.19-08-201319-08-2013",Domestic Scheduled Passenger,TSB Canada ,2013
20-AUG-2013,Swearingen SA227-DC Metro 23,CP-2655,Aerocon,0,Sucre-Juana ...,https://aviation-safety.net/database/record.php?id=20130820-0,Landing (LDG),Substantial,Runway excursion,"A Swearingen SA227-DC Metro 23 passenger plane, CP-2655, sustained substantial damage in a runway excursion accident at Sucre Airport, Bolivia. The eight passengers and two pilots on board escaped unharmed.The airplane had just landed on runway 05 following a domestic passenger flight from Potosí. At a speed of 50 knots during the landing roll the nosewheel steering failed. The airplane swerved to the left and ran down a rocky embankment.CAUSES (translated from Spanish)""The investigation determined that the probable cause of the accident was due to a system failure of the nose gear steering, which caused the aircraft to lose control during the landing, and going off the left side of the runway (RUNWAY EXCURSION).""",Domestic Scheduled Passenger,DGAC-AIG ,2013
22-AUG-2013,Beech B200C Super King Air,5H-TZW,Tanzanair,0,Lake Manyara,https://aviation-safety.net/database/record.php?id=20130822-0,En route (ENR),Substantial,Ditching,"A Beechcraft B200C Super King Air on a charter flight from Bukoba, Tanzania to Zanzibar, force-landed in Lake Manyara following a loss of engine power.The pilot announced he had lost one engine at 21,000 feet while en route and he decided to divert to Arusha. During the descent, at 16,000 feet, the remaining engine also seized. He then ditched the plane in Lake Manyara. All aboard were rescued by fishermen.22-08-201322-08-2013",Domestic Non Scheduled Passenger,,2013
22-AUG-2013,DHC-3T Vazar Turbine Otter,C-FSGD,Transwest Air,1,near Ivanhoe Lake...,https://aviation-safety.net/database/record.php?id=20130822-1,En route (ENR),Damaged beyond repair,Loss of control,"A de Havilland Canada DHC-3 Otter crashed near Ivanhoe Lake, NT, Canada. The airplane was en route from Scott Lake, SK.Findings as to causes and contributing factors1. During approach to landing on the previous flight, the right-wing leading-edge and wing tip were damaged by impact with several trees.2. The damage to the aircraft was not evaluated or inspected by qualified personnel prior to take-off.3. Cumulative unmanaged stressors disrupted the pilot's processing of safety-critical information, and likely contributed to an unsafe decision to depart with a damaged, uninspected aircraft.4. The aircraft was operated in a damaged condition and departed controlled flight likely due to interference between parts of the failing wing tip, acting under air loads, and the right aileron.",Ferry/positioning,TSB Canada ,2013
22-AUG-2013,BN-2B-27 Islander,XC-FEE,Chihuahua State Government,0,near Purisima del...,https://aviation-safety.net/database/record.php?id=20130822-2,En route (ENR),Damaged beyond repair,Fuel exhaustion   Forced landing outside airport,"The BN-2B-27 Islander was force landed near Zacatecas, Mexico, following a loss of engine power in flight. The aircraft departed Chihuahua at 1152 hours (1952 UTC) with destination Zacatecas. When the 15 NM from Zacatecas, the right hand engine lost power. The aircraft was not able to maintain altitude, whereupon de pilot decided to perform a forced landing. The plane sustained substantial damage. Two occupants were injured.PROBABLE CAUSE ""Number one engine shutdown in flight due to lack of fuel.""CONTRIBUTING FACTORS(1) Failure to apply the standard procedures relating to the quantity of fuel required as set out in the applicable regulations which were not provided to the crew by the operator.(2) Inadequate pre-flight preparation3) Non-adherence to VFR rules4) Lack of familiarity in the equipment on the part of the pilot when not receiving training in the flight equipment on the part of the operator.",Official state flight,SCT Mexico ,2013
25-AUG-2013,Antonov An-26B-100,EK-26818,"South Airlines, op.for Transom Airways",0,Guri'el Airs...,https://aviation-safety.net/database/record.php?id=20130825-0,Landing (LDG),Substantial,,"An Antonov 26 passenger plane was damaged in a landing accident at Guri'el Airstrip, Somalia. The airplane landed half way down the unpaved airstrip and ran into a large rock. The nose gear was severed and penetrated the fuselage, injuring a crew member.The airplane was carrying newly appointed governor of the Galgadud region, Hussein Ali Wehliye.At the time of the accident the aircraft was not airworthy. The Certificate of Airworthiness had expired on 31 May 2012 and the aircraft had been removed from the Armenian aircraft register on 26 October 2012.",Domestic Non Scheduled Passenger,,2013
01-SEP-2013,Beech 1900D,N169GL,Great Lakes Airlines,0,Telluride Ai...,https://aviation-safety.net/database/record.php?id=20130901-0,Landing (LDG),Substantial,Landing gear collapse Runway mishap,"A Beechcraft 1900D passenger plane operating as flight GLA7125 from Denver International Airport, CO (DEN) to Telluride Airport, CO (TEX) was damaged in a landing accident on runway 27.During approach to landing the crew selected landing gear down and observed a problem with the left main landing gear (MLG). The landing gear hydraulic motor pump automatically shut down when the landing gear was not locked down after 16 seconds and an internal mechanical lock intended to hold the landing gear actuator in the selected position, did not engage.The crew carried out the abnormal procedures checklist and attempted to extend the left MLG using the manual landing gear extension procedures, but was unsuccessful. The crew then prepared for landing in accordance with the procedures contained in the quick reference handbook for landing with main gear up or unsafe.As the airplane slowed through about 80 knots on the landing roll, the left main landing gear collapsed.Post-accident inspection indicated hydraulic fluid had leaked from a hole, which was normally plugged with a Lee plug, on the left main actuator between the primary and secondary extend ports. The Lee plug was missing and was not found. Examination of the actuator and of the hydraulic fluid quantity remaining indicated the Lee plug was in place during the in-flight attempts to extend the landing gear.The airplane landed with the gear not locked down and as the landing gear collapsed, the piston in the actuator forced hydraulic fluid back through the system increasing the landing gear actuator internal hydraulic pressure sufficiently to force the Lee plug out of position. The remaining fluid in the actuator leaked out of the hole until system pressure decreased to ambient pressure.PROBABLE CAUSE ""Failure of the left main landing gear actuator internal lock to engage in the locked position for undetermined reasons.""01-09-2013",Domestic Scheduled Passenger,NTSB ,2013
07-SEP-2013,Canadair CRJ-200ER,TC-EJA,"MNG Jet, op.for Europe Jet",0,Moskva-Vnuko...,https://aviation-safety.net/database/record.php?id=20130907-0,Landing (LDG),Substantial,,"A Canadair CRJ-200ER jet was damaged in a landing accident on runway 01 at Moscow's Vnukovo Airport (VKO). The four crew members and seven passengers were not injured.The airplane was on approach to Vnukovo when the main landing gear did not deploy. After several approaches and attempts to get the gear down, the plane landed with just the nose landing gear extended.",Executive,,2013
08-SEP-2013,Airbus A330-321,HS-TEF,Thai Airways International,0,Bangkok-Suva...,https://aviation-safety.net/database/record.php?id=20130908-0,Landing (LDG),Substantial,Runway excursion,"An Airbus A330-300 operated by Thai Airways International suffered a runway excursion accident upon landing at Bangkok-Suvarnabhumi International Airport (BKK), Thailand. Initial media reports indicate there were 288 passengers and 14 crew members on board. At least twelve were injured. Flight TG-679 landed on runway 19L at 2326 following a flight from Guangzhou, China. It apparently went off the right side of the runway, causing the nosegear to fail. The airplane was evacuated on the left hand side of the plane.Reportedly a fire erupted in the right hand engine, which was put out by airport fire services.Initial investigations found a cracked bogie beam on the right hand main gear, which caused the landing gear to collapse.08-09-201308-09-201308-09-201308-09-2013",International Scheduled Passenger,,2013
08-SEP-2013,Learjet 35A,XA-DAZ,Rajet Aeroservicios,0,Hermosillo-G...,https://aviation-safety.net/database/record.php?id=20130908-1,Landing (LDG),Substantial,Runway excursion,The Learjet 35A suffered a runway excursion on landing. Reportedly the runway was wet as a result of rain. The undercarriage collapsed.,Unknown,,2013
09-SEP-2013,Dornier 228-202K,CC-CNW,CorpFlite,2,near Viña del Mar...,https://aviation-safety.net/database/record.php?id=20130909-0,Approach (APR),Damaged beyond repair,Landing after unstabilized approach Controlled Flight Into Terrain (CFIT) - Ground,"A Dornier 228 passenger plane was destroyed when it crashed near Viña del Mar Airport (KNA), Chile. Both pilots were killed.The airplane operated on a repositioning flight from Los Pelambres Airport to Viña del Mar. There it would pick up workers for the Los Pelambres mine.The airplane approached in poor visibility conditions. The ILS glideslope was inoperative so the crew conducted a non precision approach to runway 05. The aircraft descended below the minimum descent altitude, struck power lines and trees and crashed in a field.CAUSE (translated from Spanish report)Controlled flight into terrain (CFIT), one nautical mile southeast of the threshold of SCVM runway 05, descending below the minimum descent altitude (MDA) published for the instrument approach ILS X, without glideslope, of Viña del Mar Aerodrome.CONTRIBUTING FACTORS1. Failure to apply the concepts of Crew Resource Management (CRM).2. Failure to use checklists.3. Failure to brief the maneuvers to be executed.4. Loss of situational awareness of the crew.5. Failure to keep a sterile cockpit during approach.6. Complacency and overconfidence of the pilots.7. Unstabilized instrument approach.8. Lack and/or non-use of equipment and systems to support the flight.09-09-2013",Ferry/positioning,DGAC Chile ,2013
17-SEP-2013,ATR 72-202,EC-LNP,"Helitt Líneas Aéreas, op.for Colombe Air Line",0,Ouagadougou ...,https://aviation-safety.net/database/record.php?id=20130917-0,Standing (STD),Substantial,Damaged on the ground,"An ATR 72, registered EC-LNP, was parked at Ouagadougou Airport (OUA), Burkina Faso, when a heavy thunderstorm passed the airport. At 2000 winds were registered at 18 knots, gusting to 44 knots. The aircraft sustained substantial damage.17-09-2013",-,,2013
18-SEP-2013,Antonov An-2R,RA-33017,"Sosvapromgeologiya, op.for Taksavia",0,near Nyagan,https://aviation-safety.net/database/record.php?id=20130918-0,Landing (LDG),Substantial,Fuel contamination  Forced landing outside airport,"An Antonov 2R plane sustained substantial damage in a forced landing accident following a loss of engine power. Three occupants were injured.The airplane was owned by Sosvapromgeologiya. Because this company did not have a licence to perform commercial flights, a planned passenger flight was being operated by Taksavia. The An-2 departed Surgut at September 12 on a flight to Saranpaul and Arbyn before planning a return to Surgut. The last leg was planned for September 18. Since Surgut was closed, the destination was changed to Nefteyugansk Airport (NFG). The flight took off at 0610. At 0720 hours, at an altitude of 700 m the crew noticed that the cylinder head temperature rose to 220°-230°C and then to about 305°C. The oil temperature rose to 90°C. Power was lost and the captain decided to perform a forced landing on moorland. The airplane nosed down into a swamp.Cause (translated from Russian)Most likely cause of the accident with the An-2 RA-33017 was the use of substandard car fuel, low-octane, presence of mechanical impurities (rust), which led to an increase in the temperature of the cylinder heads, drop in engine power, unintentional reduction of altitude and the need to perform a forced landing on the wetland. Contributing factors could be - poor organization of storage, refueling and fuel quality control on site; - wrong decision by the captain to perform the flight when detecting that the fuel deviated from the norm (color, texture, presence of mechanical impurities).18-09-201318-09-2013",Domestic Non Scheduled Passenger,MAK ,2013
